jogo,data,fase,grupo,rodadaGrupo,equipe1,equipe2,xg1_modelo,xg2_modelo,placar_previsto,gols1_previsto,gols2_previsto,vencedor_previsto,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,prob_classificacao_equipe1,prob_classificacao_equipe2,prob_penaltis_equipe1_modelo,vencedor_classificacao_previsto,confianca_modelo,peso_rede_neural,validacoes_anteriores_usadas,interacoes_monte_carlo,feature_rating_diff,feature_base_rating_diff,feature_attack_vs_defense,feature_defense_vs_attack,feature_midfield_diff,feature_goalkeeper_diff,feature_experience_diff,feature_league_diff,feature_player_quality_diff,feature_intensity_diff,feature_possession_diff,feature_pressing_diff,feature_momentum_diff,feature_performance_memory_diff,feature_offensive_form_diff,feature_defensive_form_diff,feature_offensive_form_equipe1,feature_offensive_form_equipe2,feature_defensive_form_equipe1,feature_defensive_form_equipe2,feature_schedule_strength_diff,feature_opponent_adjusted_points_diff,feature_goals_for_rate_diff,feature_goals_against_rate_diff,feature_opponent_weighted_goals_for_diff,feature_opponent_weighted_goals_against_diff,feature_weighted_goals_for_rate_diff,feature_adjusted_goals_against_rate_diff,feature_weighted_goals_for_rate_equipe1,feature_weighted_goals_for_rate_equipe2,feature_adjusted_goals_against_rate_equipe1,feature_adjusted_goals_against_rate_equipe2,feature_rest_diff,feature_host_diff,feature_knockout,feature_round_group,placar_regular_previsto,decisao_penaltis,placar_penaltis,prob_penaltis_equipe1,vencedor_pos_penaltis,criterio_vencedor,status_previsao,fonte_previsao,usa_desempenho_copa,origem_confronto,precisa_recalculo,possui_real,placar_real,vencedor_real
1,2026-06-11,Fase de grupos,A,1.0,México,África do Sul,1.263,0.697,1-0,1,0,México,0.5012,0.2949,0.2038,,,,,média,0.0,0,12000,10.24,10.24,0.61,1.7,-0.94,0.6,1.8,12.8182,12.8194,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-0,México
2,2026-06-11,Fase de grupos,A,1.0,Coreia do Sul,Tchéquia,1.083,0.993,2-1,2,1,Coreia do Sul,0.3627,0.3053,0.332,,,,,baixa,0.0,1,12000,4.47,4.47,-0.24,-0.08,1.05,1.1,0.6,1.0,4.2489,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-1,Coreia do Sul
3,2026-06-12,Fase de grupos,B,1.0,Canadá,Bósnia e Herzegovina,1.275,0.77,1-0,1,0,Canadá,0.4873,0.296,0.2167,,,,,média,0.0,2,12000,9.52,9.52,0.66,1.04,1.79,0.83,0.99,2.9091,8.4461,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
4,2026-06-12,Fase de grupos,D,1.0,Estados Unidos,Paraguai,1.296,0.661,1-0,1,0,Estados Unidos,0.5207,0.2869,0.1924,,,,,média,0.0,3,12000,10.55,10.55,0.65,1.84,0.99,1.13,0.71,8.6364,10.6561,0.0,2.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,4-1,Estados Unidos
5,2026-06-13,Fase de grupos,C,1.0,Haiti,Escócia,0.788,1.199,0-1,0,1,Escócia,0.2452,0.2975,0.4572,,,,,baixa,0.0,4,12000,-9.39,-9.39,-1.03,-0.14,-2.81,0.27,-0.92,-9.6364,-8.6767,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-1,Escócia
6,2026-06-13,Fase de grupos,D,1.0,Austrália,Turquia,0.78,1.177,0-1,0,1,Turquia,0.2483,0.2967,0.455,,,,,baixa,0.0,5,12000,-6.21,-6.21,-1.48,-0.3,-1.6,-0.37,-0.6,1.0909,-5.9544,0.0,-2.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-0,Austrália
7,2026-06-13,Fase de grupos,C,1.0,Brasil,Marrocos,1.158,0.878,1-0,1,0,Brasil,0.422,0.3072,0.2708,,,,,baixa,0.0,6,12000,4.22,4.22,0.33,0.83,0.61,0.17,0.55,2.0,4.8367,0.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
8,2026-06-13,Fase de grupos,B,1.0,Catar,Suíça,0.899,1.204,0-1,0,1,Suíça,0.2729,0.3039,0.4232,,,,,baixa,0.0,7,12000,-7.51,-7.51,-0.43,-0.31,-0.58,0.34,0.72,-26.2727,-8.1506,-1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
9,2026-06-14,Fase de grupos,E,1.0,Costa do Marfim,Equador,0.997,0.933,1-0,1,0,Costa do Marfim,0.3585,0.3142,0.3273,,,,,baixa,0.0,8,12000,1.8,1.8,-0.63,0.66,1.02,0.47,-0.18,4.4545,0.6328,-1.0,-1.8,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-0,Costa do Marfim
10,2026-06-14,Fase de grupos,E,1.0,Alemanha,Curaçao,1.205,0.758,1-0,1,0,Alemanha,0.4688,0.3033,0.2279,,,,,baixa,0.0,9,12000,9.6,9.6,0.22,1.24,0.04,0.47,0.65,9.1818,12.32,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,7-1,Alemanha
11,2026-06-14,Fase de grupos,F,1.0,Países Baixos,Japão,1.122,0.882,1-0,1,0,Países Baixos,0.4064,0.3078,0.2858,,,,,baixa,0.0,10,12000,2.38,2.38,0.25,1.11,-1.26,0.37,0.14,3.9091,3.9444,-1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-2,Empate
12,2026-06-14,Fase de grupos,F,1.0,Suécia,Tunísia,1.106,0.902,1-0,1,0,Suécia,0.4014,0.3095,0.2891,,,,,baixa,0.0,11,12000,3.83,3.83,0.09,0.57,0.16,0.43,-0.24,8.0,4.9261,-1.8,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,5-1,Suécia
13,2026-06-15,Fase de grupos,H,1.0,Arábia Saudita,Uruguai,0.901,1.081,0-1,0,1,Uruguai,0.3023,0.3078,0.3898,,,,,baixa,0.0,12,12000,-6.2,-6.2,-0.52,0.38,-0.82,-0.43,0.0,-20.7273,-5.3083,-1.0,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
14,2026-06-15,Fase de grupos,H,1.0,Espanha,Cabo Verde,1.295,0.811,1-0,1,0,Espanha,0.4841,0.2868,0.2292,,,,,média,0.0,13,12000,10.18,10.18,0.72,0.63,1.73,0.87,-0.23,14.0909,11.5206,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-0,Empate
